"filename", "language", "JSON", "JavaScript", "Ini", "Properties", "MS SQL", "Shell Script", "Markdown", "PHP", "Ignore", "Docker", "TypeScript", "Skill", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"d:\Project\UnderImprove\Web\aureuserp\.claude\skills\aureuserp-api-builder\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 9, 58
"d:\Project\UnderImprove\Web\aureuserp\.claude\skills\aureuserp-api-builder\references\api-conventions.md", "Markdown", 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 209
"d:\Project\UnderImprove\Web\aureuserp\.claude\skills\aureuserp-plugin-builder\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 21, 138
"d:\Project\UnderImprove\Web\aureuserp\.claude\skills\aureuserp-plugin-builder\references\plugin-patterns.md", "Markdown", 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 240
"d:\Project\UnderImprove\Web\aureuserp\.claude\skills\aureuserp-test-case-builder\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 12, 43
"d:\Project\UnderImprove\Web\aureuserp\.claude\skills\aureuserp-test-case-builder\references\api.md", "Markdown", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 62
"d:\Project\UnderImprove\Web\aureuserp\.github\ISSUE_TEMPLATE\bug.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 10, 99
"d:\Project\UnderImprove\Web\aureuserp\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 68
"d:\Project\UnderImprove\Web\aureuserp\.github\ISSUE_TEMPLATE\feature_request.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 5, 43
"d:\Project\UnderImprove\Web\aureuserp\.github\PULL_REQUEST_TEMPLATE.md", "Markdown", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 43
